재료명	카테고리	기본양념
가래떡	processed.tteok	false
가리비	seafood.shellfish	false
가브리살	meat.pork	false
가쓰오부시	seafood.fish.driedfish	false
가염버터	dairy.milk	false
가자미	seafood.fish.whitefish	false
가지	agri.veg.fruitveg	false
간장	season.jang	true
갈매기살	meat.pork	false
갈치	seafood.fish.whitefish	false
감자	agri.veg.root	false
감자전분	agri.grain.starch	false
갑오징어	seafood.mollusk	false
갓김치	processed.kimchi	false
강낭콩	agri.legume	false
강력분	agri.grain.wheat	false
강황가루	season.powder	false
건고추	agri.veg.pepper	false
건미역	seafood.seaweed	false
건새우	seafood.crustacean	false
건포도	processed.othproc	false
건표고버섯	agri.mushroom	false
검은깨	agri.nutseed.seeds	false
검은콩	agri.legume	false
게살	seafood.crustacean	false
겨자가루	season.powder	false
겨자잎	agri.veg.leafy	false
계피가루	season.powder	false
고구마	agri.veg.root	false
고구마순	agri.veg.namul	false
고구마전분	agri.grain.starch	false
고다치즈	dairy.cheese	false
고등어	seafood.fish.bluefish	false
고사리	agri.veg.namul	false
고수	season.herb	false
고운고춧가루	season.powder	false
고추기름	season.oil	false
고추장	season.jang	true
고춧가루	season.powder	true
곤드레	agri.veg.namul	false
골뱅이	processed.canned	false
곱창	meat.beef	false
광어	seafood.fish.whitefish	false
국간장	season.jang	true
국거리용소고기	meat.beef	false
국물용멸치	seafood.fish.driedfish	false
군만두	processed.othproc	false
굴	seafood.shellfish	false
굴소스	season.sauce	true
굵은고춧가루	season.powder	false
굵은소금	season.sweetsalt	true
귀리	agri.grain.miscgrain	false
귤	agri.fruit.citrus	false
그릭요거트	dairy.fermented	false
그린빈	agri.veg.othveg	false
근대	agri.veg.leafy	false
기장	agri.grain.miscgrain	false
김	seafood.seaweed	false
까나리액젓	processed.jeotgal	false
깍두기	processed.kimchi	false
깻잎	agri.veg.leafy	false
꽁치	seafood.fish.bluefish	false
꽃게	seafood.crustacean	false
꽃소금	season.sweetsalt	true
꽈리고추	agri.veg.pepper	false
꿀	season.sweetsalt	false
끓는물	water	true
낙지	seafood.mollusk	false
난	processed.bread	false
날치알	processed.seafoodproc	false
낫토	processed.othproc	false
냉면사리	processed.noodle	false
냉수	water	true
냉이	agri.veg.namul	false
넛맥	season.herb	false
노가리	seafood.fish.driedfish	false
노두유	season.jang	false
노루궁뎅이버섯	agri.mushroom	false
녹두	agri.legume	false
느타리버섯	agri.mushroom	false
늙은호박	agri.veg.fruitveg	false
능이버섯	agri.mushroom	false
다시다	season.broth	true
다시마	seafood.seaweed	false
다진마늘	season.minced	true
