순위,빈도,누적%,표현,결정,후보1,후보2,후보3,비고
1,2738,3.3,밥,,,,,닮은 이름 없음 — NEW 이거나 재료가 아닐 가능성이 큽니다
2,2419,6.3,깨소금,,소고기,시금치,소갈비,
3,1723,8.4,매실액,,매실,매실청,실파,
4,962,9.5,참치액,,참치,참치캔,삼치,
5,812,10.5,생강가루,,생강,생강즙,다진생강,
6,812,11.5,간마늘,,마늘종,마늘가루,간장,
7,731,12.4,채,,,,,닮은 이름 없음 — NEW 이거나 재료가 아닐 가능성이 큽니다
8,472,13.0,기름,,참기름,들기름,고추기름,
9,456,13.5,고추,,건고추,고추장,초고추장,
10,426,14.0,쌀뜨물,,찹쌀떡,쌀,찹쌀,
11,415,14.6,김가루,,메밀가루,김,고춧가루,
12,378,15.0,버섯,,표고버섯,팽이버섯,목이버섯,
13,371,15.5,생강술,,생강,생강즙,다진생강,
14,357,15.9,슈가파우더,,코코아파우더,베이킹파우더,아욱,
15,352,16.3,육수,,죽순,옥수수,복숭아,
16,311,16.7,다진대파,,다진파,다진마늘,다진생강,
17,307,17.1,다진양파,,다진파,양파가루,다진마늘,
18,301,17.4,대패삼겹살,,우삼겹,오겹살,부채살,
19,298,17.8,멸치다시마육수,,멸치다시팩,멸치육수,다시마,
20,293,18.2,김치국물,,파김치,갓김치,백김치,
21,283,18.5,토마토소스,,토마토,토마토홀,방울토마토,
22,270,18.8,견과류,,연근,,,
23,268,19.2,파마산치즈가루,,파마산치즈,한치,체다치즈,
24,253,19.5,마늘쫑,,마늘,마늘종,마늘가루,
25,251,19.8,양상추,,양송이버섯,양파,양지,
26,249,20.1,연겨자,,연근,겨자잎,겨자가루,
27,243,20.4,진미채,,다진마늘,현미,다진파,
28,240,20.7,요리당,,당근,당면,다시다,
29,236,21.0,참치액젓,,멸치액젓,까나리액젓,참치,
30,234,21.2,소세지,,소시지,굴소스,피시소스,
31,230,21.5,허브솔트,,폰즈소스,타르타르소스,돈까스소스,
32,223,21.8,아몬드가루,,아몬드,곤드레,메밀가루,
33,194,22.0,빨간 파프리카,,파프리카가루,팔각,쌀가루,
34,191,22.3,다진 양파,,다진파,양파가루,다진마늘,
35,186,22.5,다진 대파,,다진파,다진마늘,다진생강,
36,179,22.7,청피망,,청포도,청포묵,망고,
37,177,22.9,떡,,가래떡,떡국떡,찹쌀떡,
38,172,23.1,빨강파프리카,,파프리카가루,팔각,쌀가루,
39,170,23.3,비엔나소세지,,비엔나소시지,펜네,소시지,
40,168,23.5,쯔유,,올리브유,,,
41,168,23.7,면기,,소면,연근,중면,
42,167,23.9,노랑파프리카,,파프리카가루,프랑크소시지,소라,
43,165,24.1,매실액기스,,매실,매실청,백김치,
44,164,24.3,노란 파프리카,,파프리카가루,토란,토란대,
45,160,24.5,찬밥,,찬물,,,
46,159,24.7,다시마육수,,다시마,사골육수,멸치육수,
47,156,24.9,돼지고기 앞다리살,,돼지고기,뒷다리살,닭다리살,
48,153,25.1,땡초,,,,,닮은 이름 없음 — NEW 이거나 재료가 아닐 가능성이 큽니다
49,151,25.3,대접,,,,,닮은 이름 없음 — NEW 이거나 재료가 아닐 가능성이 큽니다
50,151,25.5,초코칩,,초콜릿,코코넛,브로콜리,
51,137,25.6,페페론치노,,페퍼론치노,한치,파마산치즈,
52,133,25.8,와사비,,,,,닮은 이름 없음 — NEW 이거나 재료가 아닐 가능성이 큽니다
53,133,26.0,순대,,순두부,근대,순무,
54,132,26.1,삶은계란,,굵은고춧가루,토란,은행,구조 차단: unrelated
55,132,26.3,스테이크소스,,프랑크소시지,베이컨,베이킹소다,
56,130,26.4,집된장,,간장,춘장,두반장,
57,129,26.6,식용류,,식용유,그릭요거트,식초,
58,129,26.8,간 마늘,,마늘종,마늘가루,간장,
59,124,26.9,봄동,,동태,우동면,,
