# 결정 칸에 셋 중 하나를 적으세요 — 후보는 참고일 뿐 고를 필요 없습니다
#   재료명   우리 사전(525종)에 있는 이름. 예) 매실액 → 매실청
#   X        재료가 아님 (도구·용기·소모품)
#   NEW      사전에 없는 새 재료. 예) 물 · 밥 · 육수
# 양념/식재료 같은 분류는 적지 않습니다 — 역할은 P4 가 자동 판정합니다
# 쓸 수 있는 이름 목록:  bench/out/dictionary.tsv
순위	빈도	누적%	표현	결정	후보1	후보2	후보3	비고
1	2738	3.2	밥					
2	2419	5.9	깨소금		소고기	시금치	소갈비	
3	1723	7.9	매실액		매실	매실청	실파	
4	962	9.0	참치액		참치	참치캔	삼치	
5	812	10.0	생강가루		생강	생강즙	다진생강	
6	812	10.9	간마늘		마늘종	마늘가루	간장	
7	731	11.7	채					
8	472	12.3	기름		참기름	들기름	고추기름	
9	465	12.8	조리용스푼		국거리용소고기	불고기용소고기	보리	
10	456	13.3	고추		건고추	고추장	초고추장	
11	426	13.8	쌀뜨물		찹쌀떡	쌀	찹쌀	
12	415	14.3	김가루		메밀가루	김	고춧가루	
13	378	14.7	버섯		표고버섯	팽이버섯	목이버섯	
14	371	15.2	생강술		생강	생강즙	다진생강	
15	369	15.6	숟가락		노가리	가리비	밀가루	
16	357	16.0	슈가파우더		코코아파우더	베이킹파우더	아욱	
17	352	16.4	육수		죽순	옥수수	복숭아	
18	319	16.8	소스볼		굴소스	피시소스	칠리소스	
19	311	17.1	다진대파		다진파	다진마늘	다진생강	
20	307	17.5	다진양파		다진파	양파가루	다진마늘	
21	301	17.8	대패삼겹살		우삼겹	오겹살	부채살	
22	298	18.2	멸치다시마육수		멸치다시팩	멸치육수	다시마	
23	293	18.5	요리젓가락		고춧가루	고운고춧가루	굵은고춧가루	
24	293	18.9	김치국물		파김치	갓김치	백김치	
25	289	19.2	볶음팬		닭볶음탕용닭	떡볶이떡	얼음	
26	283	19.5	토마토소스		토마토	토마토홀	방울토마토	
27	282	19.8	플레이팅접시		플레인요거트	콜리플라워	홀그레인머스타드	
28	270	20.2	견과류		연근			
29	268	20.5	파마산치즈가루		파마산치즈	한치	체다치즈	
30	253	20.8	마늘쫑		마늘	마늘종	마늘가루	
31	251	21.0	양상추		양송이버섯	양파	양지	
32	249	21.3	연겨자		연근	겨자잎	겨자가루	
33	243	21.6	진미채		다진마늘	현미	다진파	
34	240	21.9	요리당		당근	당면	다시다	
35	236	22.2	참치액젓		멸치액젓	까나리액젓	참치	
36	234	22.4	소세지		소시지	굴소스	피시소스	
37	230	22.7	허브솔트		폰즈소스	타르타르소스	돈까스소스	
38	223	22.9	아몬드가루		아몬드	곤드레	메밀가루	
39	222	23.2	완성접시		청주	완두콩	항정살	
40	199	23.4	스푼		스팸	스파게티면	아스파라거스	
41	197	23.7	조리주걱		보리	소꼬리	오리고기	
42	194	23.9	빨간 파프리카		파프리카가루	팔각	쌀가루	
43	191	24.1	다진 양파		다진파	양파가루	다진마늘	
44	186	24.3	다진 대파		다진파	다진마늘	다진생강	
45	179	24.5	키친타올		타임	민트	화자오	
46	179	24.7	청피망		청포도	청포묵	망고	
47	177	24.9	떡		가래떡	떡국떡	찹쌀떡	
48	172	25.1	빨강파프리카		파프리카가루	팔각	쌀가루	
49	170	25.3	비엔나소세지		비엔나소시지	펜네	소시지	
50	168	25.5	쯔유		올리브유			
51	168	25.7	면기		소면	연근	중면	
52	167	25.9	노랑파프리카		파프리카가루	프랑크소시지	소라	
53	165	26.1	매실액기스		매실	매실청	백김치	
54	164	26.3	노란 파프리카		파프리카가루	토란	토란대	
55	162	26.5	요리집게		소시지	오이지	콩비지	
56	160	26.7	찬밥		찬물			
57	160	26.8	유리볼		가리비	올리브	올리브유	
58	159	27.0	다시마육수		다시마	사골육수	멸치육수	
59	156	27.2	돼지고기 앞다리살		돼지고기	뒷다리살	닭다리살	
60	153	27.4	땡초					
61	151	27.6	대접					
62	151	27.7	초코칩		초콜릿	코코넛	브로콜리	
63	137	27.9	페페론치노		페퍼론치노	한치	파마산치즈	
64	133	28.0	와사비					
65	133	28.2	순대		순두부	근대	순무	
66	132	28.3	삶은계란		굵은고춧가루	토란	은행	구조 차단: unrelated
67	132	28.5	스테이크소스		프랑크소시지	베이컨	베이킹소다	
68	130	28.6	집된장		간장	춘장	두반장	
69	129	28.8	식용류		식용유	그릭요거트	식초	
70	129	28.9	간 마늘		마늘종	마늘가루	간장	
71	124	29.1	봄동		동태	우동면		
72	122	29.2	바닐라익스트랙		슬라이스햄	슬라이스치즈	라임	
73	119	29.4	빨강 파프리카		파프리카가루	팔각	쌀가루	
74	117	29.5	김밥김		파김치	갓김치	백김치	
75	117	29.6	홍피망		망고	홍합	다시마	
76	117	29.8	코코아가루		코코아파우더	코코넛	마가린	
77	116	29.9	무순		수수	순무	죽순	
78	115	30.0	김칫국물		파김치	갓김치	백김치	
79	114	30.2	어린잎채소		정어리	채수	민어	
80	112	30.3	고운소금		고운고춧가루	소고기	시금치	
81	108	30.4	매운고추		고운고춧가루	고추장	굵은고춧가루	
82	106	30.5	생강청		생강	생강즙	다진생강	
83	106	30.7	멸치가루		멸치	잔멸치	멸치육수	
84	104	30.8	돼지고기앞다리살		돼지고기	뒷다리살	닭다리살	
85	103	30.9	딸기잼		딸기	살구	기장	
86	101	31.0	노랑 파프리카		파프리카가루	프랑크소시지	소라	
87	96	31.1	핫소스		맛소금	소시지	맛살	
88	96	31.2	땅콩버터		땅콩	강낭콩	콩비지	
89	96	31.3	꼬막		토마토	토마토홀	방울토마토	
90	96	31.5	머스터드		머스타드	랍스터	우스터소스	
91	95	31.6	멸치 다시마 육수		멸치다시팩	멸치육수	다시마	
92	92	31.7	새우살		새우	건새우	새우젓	
93	92	31.8	빨간파프리카		파프리카가루	팔각	쌀가루	
94	91	31.9	전분물		전분	감자전분	고구마전분	
95	90	32.0	찬기		찬물	만가닥버섯		
96	90	32.1	녹인버터		목이버섯	녹두	로메인	
97	89	32.2	연두		연두부	연어	연유	
98	89	32.3	시나몬가루		아몬드	메밀가루	고춧가루	
99	87	32.4	궁중팬		청주	중면	붕장어	
100	87	32.5	양파중		양파	적양파	양파가루	
101	85	32.6	사이다		라임	타임	다시다	
102	84	32.7	갈은깨		검은깨	얼갈이배추	갈치	
103	84	32.8	아몬드슬라이스		슬라이스햄	슬라이스치즈	아몬드	
104	84	32.9	머스터드소스		머스타드	랍스터	홀그레인머스타드	
105	83	33.0	양파 작은것		양파	적양파	양파가루	
106	83	33.1	다진당근		다진파	다진마늘	다진생강	
107	82	33.2	다시육수		멸치육수	사골육수	다시마	
108	82	33.3	만두피		만두	물만두	왕만두	
109	81	33.4	배즙		레몬즙	생강즙		
110	81	33.5	다시마물		다시마	다시다	소고기다시다	
111	81	33.5	갈색설탕		갈치	소갈비	등갈비	
112	81	33.6	멸치다시육수		멸치육수	멸치다시팩	멸치	
113	80	33.7	카레		카레가루	마카로니	모짜렐라치즈	
114	80	33.8	참나물		참깨	참치	물엿	
115	80	33.9	양파 작은거		양파	적양파	양파가루	
116	77	34.0	돼지고기 목살		돼지고기	돼지고기다짐육	수육용돼지고기	
117	77	34.1	니트릴장갑		빵가루	비트	망고	
118	76	34.2	뚝배기		시래기	갈매기살		
119	75	34.3	바닐라 익스트랙		슬라이스햄	슬라이스치즈	라임	
