count	term
2738	밥
2419	깨소금
1723	매실액
962	참치액
812	생강가루
812	간마늘
731	채
472	기름
465	조리용스푼
456	고추
426	쌀뜨물
415	김가루
378	버섯
371	생강술
369	숟가락
357	슈가파우더
352	육수
319	소스볼
311	다진대파
307	다진양파
301	대패삼겹살
298	멸치다시마육수
293	요리젓가락
293	김치국물
289	볶음팬
283	토마토소스
282	플레이팅접시
270	견과류
268	파마산치즈가루
253	마늘쫑
251	양상추
249	연겨자
243	진미채
240	요리당
236	참치액젓
234	소세지
230	허브솔트
223	아몬드가루
222	완성접시
199	스푼
197	조리주걱
194	빨간 파프리카
191	다진 양파
186	다진 대파
179	키친타올
179	청피망
177	떡
172	빨강파프리카
170	비엔나소세지
168	쯔유
168	면기
167	노랑파프리카
165	매실액기스
164	노란 파프리카
162	요리집게
160	찬밥
160	유리볼
159	다시마육수
156	돼지고기 앞다리살
153	땡초
151	대접
151	초코칩
137	페페론치노
133	와사비
133	순대
132	삶은계란
132	스테이크소스
130	집된장
129	식용류
129	간 마늘
124	봄동
122	바닐라익스트랙
119	빨강 파프리카
117	김밥김
117	홍피망
117	코코아가루
116	무순
115	김칫국물
114	어린잎채소
112	고운소금
108	매운고추
106	생강청
106	멸치가루
104	돼지고기앞다리살
103	딸기잼
101	노랑 파프리카
96	핫소스
96	땅콩버터
96	꼬막
96	머스터드
95	멸치 다시마 육수
92	새우살
92	빨간파프리카
91	전분물
90	찬기
90	녹인버터
89	연두
89	시나몬가루
87	궁중팬
87	양파중
85	사이다
84	갈은깨
84	아몬드슬라이스
84	머스터드소스
83	양파 작은것
83	다진당근
82	다시육수
82	만두피
81	배즙
81	다시마물
81	갈색설탕
81	멸치다시육수
80	카레
80	참나물
80	양파 작은거
77	돼지고기 목살
77	니트릴장갑
76	뚝배기
75	바닐라 익스트랙
75	김밥용김
74	밀가루박력분
73	내열용기
73	핫케이크가루
72	호
72	다크초콜릿
71	노란파프리카
70	명란
70	조림간장
70	감자중
69	코인육수
69	다진청양고추
69	허니머스타드
69	드라이이스트
69	쫄면
68	접시볼
68	공기밥
68	찹쌀풀
68	쌀뜬물
67	머스타드소스
67	겨자
67	다진 청양고추
67	라면스프
67	옥수수통조림
66	돈가스소스
66	파마산 치즈가루
65	곤약
65	면수
65	꽁치통조림
65	멸치 육수용
64	송송 썬 대파
63	냉면육수
62	완성그릇
62	양파즙
62	돼지고기목살
62	김밥용 김
61	볶은참깨
61	소고기국거리
61	대파 10cm
61	청양고춧가루
61	소불고기
60	고추장 듬뿍
60	돼지등뼈
60	미역줄기
60	파뿌리
59	나무도마
59	원당
58	새싹채소
